firm,leverage,challenge_pass_rate,challenge_avg_pass_days,challenge_avg_fail_days,challenge_e_first_pass_days,challenge_e_cost,annual_net_ev,annual_net_med,annual_net_p10,annual_net_p90,annual_profit_prob,avg_account_purchases,avg_challenge_retries,avg_funded_episodes_per_year,avg_busts_per_year,avg_payouts_per_year,avg_gross_payout_per_year,avg_fee_refund_per_year,avg_challenge_days_per_year,avg_funded_days_per_year,funded_avg_life_days,funded_bust_rate,funded_survive_to_year_end_rate,funded_got_payout_rate,funded_avg_payout_per_episode,funded_avg_payout_count_per_episode
GOAT 2-Step Standard,3.0,0.8343,68.56418554476807,52.457453228726614,78.98274002157497,477.0466259139398,18699.031944162685,17807.039704127186,3510.900174065274,34958.299655547504,0.9581666666666667,1.6888333333333334,0.25616666666666665,1.4065,0.43483333333333335,7.254333333333333,19050.53227749602,320.6553333333333,113.34716666666667,148.36683333333335,105.4865505391634,0.30915985306315913,0.6908401469368408,0.7934589406327764,13544.63723959902,5.1577201090176565
GOAT 2-Step Standard,4.0,0.7926,49.56384052485491,41.95998071359691,60.54352763058289,502.14483976785266,21415.131622479912,20218.36959761863,5358.101137701568,39034.05222453881,0.976,2.149,0.404,1.6996666666666667,0.7488333333333334,7.5525,21935.582955813243,334.85066666666665,102.98983333333334,157.13316666666665,92.44940184349872,0.4405765836438517,0.5594234163561482,0.7734849970582467,12905.81464354574,4.443518336928809
TTP CFD 2-Phase,1.0,0.9816,219.11033007334964,240.0,223.60910757946212,579.6658516707416,2415.860042392249,825.4886215115694,-569.0,7837.9850523800615,0.5605,1.0025,0.0011666666666666668,0.987,0.0013333333333333333,3.0018333333333334,2725.7753757255823,260.50716666666665,223.989,54.994,55.71833839918946,0.0013508949679162446,0.9986491050320837,0.610435663627153,2761.6771790532753,3.041371158392435
TTP CFD 2-Phase,1.5,0.9797,149.68725119934675,156.4120879120879,152.92820800716075,580.7900377666632,7603.421460911247,6717.374199384527,-569.0,16827.761118709706,0.8305,1.1126666666666667,0.016833333333333332,1.0918333333333334,0.09716666666666667,5.827166666666667,7807.692460911247,428.83633333333336,166.95716666666667,102.06566666666667,93.48099526789802,0.08899404671042589,0.9110059532895741,0.7814074187147001,7150.992942370246,5.337047778965044
TTP CFD 2-Phase,2.0,0.8806,105.63218260277084,102.02265100671141,119.46536966863654,646.150352032705,12000.167643090703,10920.00524252986,71.05786531421748,24483.713986694347,0.9011666666666667,1.513,0.13866666666666666,1.3376666666666666,0.37766666666666665,6.834333333333333,12371.914309757369,489.1503333333333,159.77166666666668,116.87916666666666,87.37540493396462,0.2823324196361824,0.7176675803638176,0.727510590580613,9248.876882450064,5.109145277846998
TTP CFD 2-Phase,2.5,0.7929,78.25778786732249,59.99323998068566,93.92760751671081,717.6188674486064,15413.022700153937,13437.933981490096,983.2191744619207,32277.612786107795,0.9213333333333333,2.1268333333333334,0.37716666666666665,1.6748333333333334,0.7555,6.912333333333334,16092.313866820603,530.877,157.0115,117.00483333333334,69.86058314260126,0.4510896606627525,0.5489103393372474,0.7070355259229774,9608.307612789693,4.127176833515772
TTP CFD 2-Phase,3.0,0.7814,63.203736882518555,52.263037511436416,77.82454568722805,728.1801894036346,19652.97811941425,16898.494365391656,2746.4473818627944,40763.2014554065,0.951,2.4245,0.455,1.897,0.9755,7.214,20449.672952747584,582.8456666666667,147.85083333333333,122.17216666666667,64.40282902829028,0.5142329994728518,0.48576700052714816,0.7235986645580742,10780.006828016649,3.80284659989457
TTP CFD 2-Phase,4.0,0.7107,43.25805543830027,39.37849982716903,59.287603770930076,800.6191079217673,26652.526006804335,22848.305761734082,4264.096224464732,54197.721689873004,0.964,3.2716666666666665,0.824,2.3455,1.4551666666666667,7.302333333333333,27882.040173471003,632.0641666666667,138.7875,125.31333333333333,53.42712996518156,0.6204078732324309,0.37959212676756915,0.7369430824984012,11887.461169674272,3.1133375968165993
E8 Pro,1.0,0.9904,131.80745153473345,157.47222222222223,133.33383817986,370.25525040387726,4289.40195477256,5096.901394155756,-366.0,8803.570472013565,0.8426666666666667,1.4493333333333334,0.005333333333333333,1.4393333333333334,0.4488333333333333,3.0725,4820.247288105893,0.0,191.23766666666666,101.37433333333334,70.43144974525244,0.3118341824918944,0.6881658175081056,0.3641732283464567,3348.944387289875,2.134668828161186
E8 Pro,1.5,0.8233,87.3059638042026,63.41845979614949,100.91709200289034,460.2199684197741,6720.1891804862535,7136.492535960213,-732.0,13612.015755305632,0.8341666666666666,2.2226666666666666,0.32716666666666666,1.8288333333333333,0.9011666666666667,4.531166666666667,7557.56834715292,0.0,184.24683333333334,98.445,53.829399434976764,0.49275494395334,0.5072450560466599,0.4203043834867402,4132.453302006517,2.4776269023967923
E8 Pro,2.0,0.7827,72.18960010221029,63.57807461999079,89.840699648555,487.8790085601125,9318.72774581592,9123.285108506896,-732.0,19023.388432034586,0.8455,2.5833333333333335,0.44133333333333336,2.0493333333333332,1.1465,5.463166666666667,10296.445079149255,0.0,181.65916666666666,99.15183333333333,48.382482108002606,0.5594502277163305,0.44054977228366954,0.4476252439817827,5024.290051634313,2.665826284970722
E8 Pro,2.5,0.641,57.555226209048364,46.47938718662952,83.58658346333854,611.8673946957879,10562.108838857572,10147.435393066145,-1171.0,22948.294477779607,0.7961666666666667,3.484166666666667,1.0808333333333333,2.2121666666666666,1.4091666666666667,5.585,11916.214672190905,0.0,186.565,90.23016666666666,40.78814133956151,0.6370074587508476,0.36299254124915237,0.4137723197468545,5386.671290073489,2.5246741505311534
E8 Pro,3.0,0.4168,40.09764875239923,33.18621399176955,86.53286948176583,980.2629558541265,7479.594654812815,6244.764671622432,-2854.0,21940.959811010733,0.611,5.5445,2.8691666666666666,2.300333333333333,1.6825,4.166666666666667,9718.330821479482,0.0,202.53816666666665,69.70083333333334,30.300318794377628,0.7314157368497319,0.26858426315026807,0.2998840747717722,4224.748944274517,1.8113316910592667
E8 Pro,4.0,0.2001,23.100449775112445,15.048506063257907,83.2568715642179,2120.9030484757623,1163.380249950553,-4317.0,-7171.0,16105.912107992845,0.37483333333333335,13.191,9.954,2.65,2.2483333333333335,2.5086666666666666,6717.9282499505525,0.0,220.914,41.576166666666666,15.689119496855346,0.8484276729559749,0.15157232704402512,0.1650943396226415,2535.067264132284,0.9466666666666667
FN Futures Flex,1.0,0.7448,68.01020408163265,44.97100313479624,83.41917293233082,179.66970998925888,8153.1378795513165,7682.952430789841,1676.3635054530173,15159.639406287464,0.9673333333333334,2.1353333333333335,0.482,1.5986666666666667,0.6576666666666666,14.113833333333334,8437.939859551318,0.0,133.54033333333334,131.93116666666666,82.52575062552127,0.4113844870725605,0.5886155129274395,0.7802335279399499,5278.110837917837,8.828502919099249
FN Futures Flex,1.5,0.6245,48.45220176140913,27.24687083888149,64.83522818254603,217.1697357886309,11612.603144484941,10680.216821405367,2507.1020816052805,21984.975541675485,0.9713333333333334,3.6895,1.25,2.3241666666666667,1.447,13.327666666666667,12110.951249484944,0.0,151.42616666666666,114.83333333333333,49.40839010397992,0.622588741484403,0.377411258515597,0.7482968806023664,5210.878988663296,5.734385084259591
FN Futures Flex,2.0,0.5489,40.789032610675896,19.913544668587896,57.15449079978138,249.14647476771725,14177.129655150964,12919.250477364294,3024.534979795231,26898.517008125014,0.9723333333333334,5.379,2.2755,2.9378333333333333,2.112833333333333,12.012666666666666,14910.478365150966,0.0,169.65783333333334,97.52716666666667,33.19697055653259,0.7191808021784762,0.28081919782152376,0.719010608725251,5075.33160440834,4.088954444885687
FN Futures Flex,2.5,0.4928,37.62662337662338,15.764392744479496,53.851663961038966,279.2167207792208,15552.100348212354,13908.618098964605,3073.8319390382494,30124.68969588237,0.9663333333333334,7.0845,3.4461666666666666,3.441,2.6491666666666664,10.324666666666667,16524.70700321236,0.0,186.68533333333335,81.209,23.600406858471374,0.7698827860118183,0.23011721398818175,0.6821176014724402,4802.297879457238,3.000484355323065
FN Futures Flex,3.0,0.447,35.3744966442953,13.075949367088608,51.55123042505592,309.3624161073825,16549.151022639606,14659.145246712906,2570.304506325448,32860.26419327787,0.9606666666666667,8.664166666666667,4.620666666666667,3.8153333333333332,3.058666666666667,9.081833333333334,17744.71604763961,0.0,198.368,70.09116666666667,18.37091560370435,0.8016774419011008,0.1983225580988992,0.6446356805871046,4650.895347101068,2.380351214398043
FN Futures Flex,4.0,0.3865,33.14799482535576,10.02722086389568,49.06442432082794,360.1358344113842,17686.473586569537,15472.277139385369,1778.627713993503,36028.58531016256,0.9406666666666667,11.554666666666666,6.905833333333334,4.399,3.667333333333333,7.0975,19292.05220656954,0.0,214.11383333333333,54.596,12.41100250056831,0.8336743199211942,0.16632568007880577,0.5728195802076229,4385.554036501372,1.6134348715617186
